Timestamp;Spur;Ivl;Total;Avg_Speed;Lkw;Lkw_avgSpeed;Pkw;Pkw_avgSpeed;Date;Hour;Minute;Day_of_week
"02.09.2019	12:15:00";DG25;4.1,4.2;3;43;0;0;3;52;02.09.2019;0;15;1
"02.09.2019	12:15:00";DG77;1.1,1.2;5;61;0;0;5;60;02.09.2019;0;15;1
"02.09.2019	12:15:00";DG78;2.1,2.2;3;50;0;0;3;57;02.09.2019;0;15;1
"02.09.2019	12:15:00";DG26;1.1,1.2;0;0;0;0;0;0;02.09.2019;0;15;1
"02.09.2019	12:15:00";DG79;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;15;1
"02.09.2019	12:15:00";WIM1;1;3;63;0;0;3;61;02.09.2019;0;15;1
"02.09.2019	12:15:00";WIM1;2;1;68;0;0;1;64;02.09.2019;0;15;1
"02.09.2019	12:15:00";WIM2;3;5;68;0;0;5;66;02.09.2019;0;15;1
"02.09.2019	12:15:00";WIM2;4;3;65;0;0;3;84;02.09.2019;0;15;1
"02.09.2019	12:20:00";DG15;1.1,1.2;0;0;0;0;0;0;02.09.2019;0;20;1
"02.09.2019	12:20:00";DG16;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;20;1
"02.09.2019	12:20:00";DG80;3.1,3.2;0;0;0;0;0;0;02.09.2019;0;20;1
"02.09.2019	12:20:00";DG81;4.1,4.2;0;0;0;0;0;0;02.09.2019;0;20;1
"02.09.2019	12:20:00";DG22;1.1,1.2;1;42;1;38;0;0;02.09.2019;0;20;1
"02.09.2019	12:20:00";DG23;2.1,2.2;1;55;0;0;1;54;02.09.2019;0;20;1
"02.09.2019	12:20:00";DG24;3.1,3.2;2;74;0;0;2;78;02.09.2019;0;20;1
"02.09.2019	12:20:00";DG25;4.1,4.2;9;67;2;49;7;60;02.09.2019;0;20;1
"02.09.2019	12:20:00";DG77;1.1,1.2;5;76;1;48;4;75;02.09.2019;0;20;1
"02.09.2019	12:20:00";DG78;2.1,2.2;11;72;2;41;9;69;02.09.2019;0;20;1
"02.09.2019	12:20:00";DG26;1.1,1.2;0;0;0;0;0;0;02.09.2019;0;20;1
"02.09.2019	12:20:00";DG79;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;20;1
"02.09.2019	12:20:00";WIM1;1;5;59;0;0;5;69;02.09.2019;0;20;1
"02.09.2019	12:20:00";WIM1;2;3;82;0;0;3;83;02.09.2019;0;20;1
"02.09.2019	12:20:00";WIM2;3;3;58;0;0;3;63;02.09.2019;0;20;1
"02.09.2019	12:20:00";WIM2;4;3;72;0;0;3;74;02.09.2019;0;20;1
"02.09.2019	12:25:00";DG15;1.1,1.2;0;0;0;0;0;0;02.09.2019;0;25;1
"02.09.2019	12:25:00";DG16;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;25;1
"02.09.2019	12:25:00";DG80;3.1,3.2;0;0;0;0;0;0;02.09.2019;0;25;1
"02.09.2019	12:25:00";DG81;4.1,4.2;0;0;0;0;0;0;02.09.2019;0;25;1
"02.09.2019	12:25:00";DG22;1.1,1.2;1;44;0;0;1;46;02.09.2019;0;25;1
"02.09.2019	12:25:00";DG23;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;25;1
"02.09.2019	12:25:00";DG24;3.1,3.2;1;78;0;0;1;82;02.09.2019;0;25;1
"02.09.2019	12:25:00";DG25;4.1,4.2;0;0;0;0;0;0;02.09.2019;0;25;1
"02.09.2019	12:25:00";DG77;1.1,1.2;1;53;0;0;1;48;02.09.2019;0;25;1
"02.09.2019	12:25:00";DG78;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;25;1
"02.09.2019	12:25:00";DG26;1.1,1.2;0;0;0;0;0;0;02.09.2019;0;25;1
"02.09.2019	12:25:00";DG79;2.1,2.2;1;70;0;0;1;79;02.09.2019;0;25;1
"02.09.2019	12:25:00";WIM1;1;4;64;0;0;4;64;02.09.2019;0;25;1
"02.09.2019	12:25:00";WIM1;2;2;71;1;67;1;72;02.09.2019;0;25;1
"02.09.2019	12:25:00";WIM2;3;4;64;3;62;1;77;02.09.2019;0;25;1
"02.09.2019	12:25:00";WIM2;4;2;65;1;63;1;74;02.09.2019;0;25;1
"02.09.2019	12:30:00";DG15;1.1,1.2;0;0;0;0;0;0;02.09.2019;0;30;1
"02.09.2019	12:30:00";DG16;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;30;1
"02.09.2019	12:30:00";DG80;3.1,3.2;0;0;0;0;0;0;02.09.2019;0;30;1
"02.09.2019	12:30:00";DG81;4.1,4.2;0;0;0;0;0;0;02.09.2019;0;30;1
"02.09.2019	12:30:00";DG22;1.1,1.2;2;40;0;0;2;47;02.09.2019;0;30;1
"02.09.2019	12:30:00";DG23;2.1,2.2;1;55;0;0;1;55;02.09.2019;0;30;1
"02.09.2019	12:30:00";DG24;3.1,3.2;1;55;0;0;1;50;02.09.2019;0;30;1
"02.09.2019	12:30:00";DG25;4.1,4.2;3;52;0;0;3;49;02.09.2019;0;30;1
"02.09.2019	12:30:00";DG77;1.1,1.2;3;54;1;41;2;59;02.09.2019;0;30;1
"02.09.2019	12:30:00";DG78;2.1,2.2;4;57;1;52;3;57;02.09.2019;0;30;1
"02.09.2019	12:30:00";DG26;1.1,1.2;1;49;0;0;1;56;02.09.2019;0;30;1
"02.09.2019	12:30:00";DG79;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;30;1
"02.09.2019	12:30:00";WIM1;1;3;53;0;0;3;56;02.09.2019;0;30;1
"02.09.2019	12:30:00";WIM1;2;0;0;0;0;0;0;02.09.2019;0;30;1
"02.09.2019	12:30:00";WIM2;3;2;68;0;0;2;69;02.09.2019;0;30;1
"02.09.2019	12:30:00";WIM2;4;1;67;0;0;1;68;02.09.2019;0;30;1
"02.09.2019	12:35:00";DG15;1.1,1.2;0;0;0;0;0;0;02.09.2019;0;35;1
"02.09.2019	12:35:00";DG16;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;35;1
"02.09.2019	12:35:00";DG80;3.1,3.2;0;0;0;0;0;0;02.09.2019;0;35;1
"02.09.2019	12:35:00";DG81;4.1,4.2;0;0;0;0;0;0;02.09.2019;0;35;1
"02.09.2019	12:35:00";DG22;1.1,1.2;4;52;0;0;4;53;02.09.2019;0;35;1
"02.09.2019	12:35:00";DG23;2.1,2.2;13;64;0;0;13;146;02.09.2019;0;35;1
"02.09.2019	12:35:00";DG24;3.1,3.2;1;53;0;0;1;53;02.09.2019;0;35;1
"02.09.2019	12:35:00";DG25;4.1,4.2;2;48;0;0;2;51;02.09.2019;0;35;1
"02.09.2019	12:35:00";DG77;1.1,1.2;3;63;0;0;3;61;02.09.2019;0;35;1
"02.09.2019	12:35:00";DG78;2.1,2.2;2;54;0;0;2;57;02.09.2019;0;35;1
"02.09.2019	12:35:00";DG26;1.1,1.2;1;46;0;0;1;46;02.09.2019;0;35;1
"02.09.2019	12:35:00";DG79;2.1,2.2;2;58;0;0;2;61;02.09.2019;0;35;1
"02.09.2019	12:35:00";WIM1;1;6;65;2;59;4;69;02.09.2019;0;35;1
"02.09.2019	12:35:00";WIM1;2;2;67;0;0;2;68;02.09.2019;0;35;1
"02.09.2019	12:35:00";WIM2;3;8;70;0;0;8;72;02.09.2019;0;35;1
"02.09.2019	12:35:00";WIM2;4;3;74;0;0;3;80;02.09.2019;0;35;1
"02.09.2019	12:40:00";DG15;1.1,1.2;0;0;0;0;0;0;02.09.2019;0;40;1
"02.09.2019	12:40:00";DG16;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;40;1
"02.09.2019	12:40:00";DG80;3.1,3.2;0;0;0;0;0;0;02.09.2019;0;40;1
"02.09.2019	12:40:00";DG81;4.1,4.2;0;0;0;0;0;0;02.09.2019;0;40;1
"02.09.2019	12:40:00";DG22;1.1,1.2;1;48;0;0;1;47;02.09.2019;0;40;1
"02.09.2019	12:40:00";DG23;2.1,2.2;2;47;1;42;1;49;02.09.2019;0;40;1
"02.09.2019	12:40:00";DG24;3.1,3.2;0;0;0;0;0;0;02.09.2019;0;40;1
"02.09.2019	12:40:00";DG25;4.1,4.2;2;56;0;0;2;58;02.09.2019;0;40;1
"02.09.2019	12:40:00";DG77;1.1,1.2;5;42;3;43;2;52;02.09.2019;0;40;1
"02.09.2019	12:40:00";DG78;2.1,2.2;3;57;1;45;2;61;02.09.2019;0;40;1
"02.09.2019	12:40:00";DG26;1.1,1.2;2;53;1;43;1;64;02.09.2019;0;40;1
"02.09.2019	12:40:00";DG79;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;40;1
"02.09.2019	12:40:00";WIM1;1;3;66;1;61;2;66;02.09.2019;0;40;1
"02.09.2019	12:40:00";WIM1;2;1;77;0;0;1;87;02.09.2019;0;40;1
"02.09.2019	12:40:00";WIM2;3;2;71;0;0;2;70;02.09.2019;0;40;1
"02.09.2019	12:40:00";WIM2;4;0;0;0;0;0;0;02.09.2019;0;40;1
"02.09.2019	12:45:00";DG15;1.1,1.2;0;0;0;0;0;0;02.09.2019;0;45;1
"02.09.2019	12:45:00";DG16;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;45;1
"02.09.2019	12:45:00";DG80;3.1,3.2;0;0;0;0;0;0;02.09.2019;0;45;1
"02.09.2019	12:45:00";DG81;4.1,4.2;0;0;0;0;0;0;02.09.2019;0;45;1
"02.09.2019	12:45:00";DG22;1.1,1.2;3;42;1;21;2;65;02.09.2019;0;45;1
"02.09.2019	12:45:00";DG23;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;45;1
"02.09.2019	12:45:00";DG24;3.1,3.2;1;50;0;0;1;50;02.09.2019;0;45;1
"02.09.2019	12:45:00";DG25;4.1,4.2;2;53;0;0;2;52;02.09.2019;0;45;1
"02.09.2019	12:45:00";DG77;1.1,1.2;3;61;0;0;3;66;02.09.2019;0;45;1
"02.09.2019	12:45:00";DG78;2.1,2.2;3;57;0;0;3;62;02.09.2019;0;45;1
"02.09.2019	12:45:00";DG26;1.1,1.2;1;25;1;18;0;0;02.09.2019;0;45;1
"02.09.2019	12:45:00";DG79;2.1,2.2;3;50;2;35;1;63;02.09.2019;0;45;1
"02.09.2019	12:45:00";WIM1;1;4;83;1;66;3;77;02.09.2019;0;45;1
"02.09.2019	12:45:00";WIM1;2;1;91;0;0;1;105;02.09.2019;0;45;1
"02.09.2019	12:45:00";WIM2;3;3;57;1;56;2;69;02.09.2019;0;45;1
"02.09.2019	12:45:00";WIM2;4;1;75;0;0;1;76;02.09.2019;0;45;1
"02.09.2019	12:50:00";DG15;1.1,1.2;0;0;0;0;0;0;02.09.2019;0;50;1
"02.09.2019	12:50:00";DG16;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;50;1
"02.09.2019	12:50:00";DG80;3.1,3.2;0;0;0;0;0;0;02.09.2019;0;50;1
"02.09.2019	12:50:00";DG81;4.1,4.2;0;0;0;0;0;0;02.09.2019;0;50;1
"02.09.2019	12:50:00";DG22;1.1,1.2;2;56;0;0;2;61;02.09.2019;0;50;1
"02.09.2019	12:50:00";DG23;2.1,2.2;0;0;0;0;0;0;02.09.2019;0;50;1
"02.09.2019	12:50:00";DG24;3.1,3.2;0;0;0;0;0;0;02.09.2019;0;50;1
"02.09.2019	12:50:00";DG25;4.1,4.2;1;56;0;0;1;60;02.09.2019;0;50;1
