ID;Crossing;Programme;Group;Duration;Start_green;End_green;Crossing_programme;Day_of_week;End_hour;End_minute;Start_hour;Start_minute
116;105;25;K2;90;37;8;10525;4;09;0;5;0
117;105;25;K2;90;37;8;10525;5;09;0;5;0
118;105;25;K3;90;19;85;10525;1;09;0;5;0
119;105;25;K3;90;19;85;10525;2;09;0;5;0
120;105;25;K3;90;19;85;10525;3;09;0;5;0
121;105;25;K3;90;19;85;10525;4;09;0;5;0
122;105;25;K3;90;19;85;10525;5;09;0;5;0
123;105;25;K4;90;11;30;10525;1;09;0;5;0
124;105;25;K4;90;11;30;10525;2;09;0;5;0
125;105;25;K4;90;11;30;10525;3;09;0;5;0
126;105;25;K4;90;11;30;10525;4;09;0;5;0
127;105;25;K4;90;11;30;10525;5;09;0;5;0
128;105;25;K5;90;88;34;10525;1;09;0;5;0
129;105;25;K5;90;88;34;10525;2;09;0;5;0
130;105;25;K5;90;88;34;10525;3;09;0;5;0
131;105;25;K5;90;88;34;10525;4;09;0;5;0
132;105;25;K5;90;88;34;10525;5;09;0;5;0
133;105;25;K6;90;88;7;10525;1;09;0;5;0
134;105;25;K6;90;88;7;10525;2;09;0;5;0
135;105;25;K6;90;88;7;10525;3;09;0;5;0
136;105;25;K6;90;88;7;10525;4;09;0;5;0
137;105;25;K6;90;88;7;10525;5;09;0;5;0
138;105;27;K1;90;8;58;10527;1;17;0;13;30
139;105;27;K1;90;8;58;10527;2;17;0;13;30
140;105;27;K1;90;8;58;10527;3;17;0;13;30
141;105;27;K1;90;8;58;10527;4;17;0;13;30
142;105;27;K1;90;8;58;10527;5;17;0;13;30
143;105;27;K2;90;83;58;10527;1;17;0;13;30
144;105;27;K2;90;83;58;10527;2;17;0;13;30
145;105;27;K2;90;83;58;10527;3;17;0;13;30
146;105;27;K2;90;83;58;10527;4;17;0;13;30
147;105;27;K2;90;83;58;10527;5;17;0;13;30
148;105;27;K3;90;23;77;10527;1;17;0;13;30
149;105;27;K3;90;23;77;10527;2;17;0;13;30
150;105;27;K3;90;23;77;10527;3;17;0;13;30
151;105;27;K3;90;23;77;10527;4;17;0;13;30
152;105;27;K3;90;23;77;10527;5;17;0;13;30
153;105;27;K4;90;61;76;10527;1;17;0;13;30
154;105;27;K4;90;61;76;10527;2;17;0;13;30
155;105;27;K4;90;61;76;10527;3;17;0;13;30
156;105;27;K4;90;61;76;10527;4;17;0;13;30
157;105;27;K4;90;61;76;10527;5;17;0;13;30
158;105;27;K5;90;63;5;10527;1;17;0;13;30
159;105;27;K5;90;63;5;10527;2;17;0;13;30
160;105;27;K5;90;63;5;10527;3;17;0;13;30
161;105;27;K5;90;63;5;10527;4;17;0;13;30
162;105;27;K5;90;63;5;10527;5;17;0;13;30
163;105;27;K6;90;80;4;10527;1;17;0;13;30
164;105;27;K6;90;80;4;10527;2;17;0;13;30
165;105;27;K6;90;80;4;10527;3;17;0;13;30
166;105;27;K6;90;80;4;10527;4;17;0;13;30
167;105;27;K6;90;80;4;10527;5;17;0;13;30
168;105;28;K1;90;8;58;10528;;;;;
169;105;28;K2;90;83;58;10528;;;;;
170;105;28;K3;90;23;77;10528;;;;;
171;105;28;K4;90;61;76;10528;;;;;
172;105;28;K5;90;63;5;10528;;;;;
173;105;28;K6;90;80;4;10528;;;;;
174;106;22;K1;75;52;17;10622;1;19;0;16;45
175;106;22;K1;75;52;17;10622;2;19;0;16;45
176;106;22;K1;75;52;17;10622;3;19;0;16;45
177;106;22;K1;75;52;17;10622;4;19;0;16;45
178;106;22;K1;75;52;17;10622;5;19;0;16;45
179;106;22;K1;75;52;17;10622;6;19;0;5;0
180;106;22;K1;75;52;17;10622;7;23;59;5;0
181;106;22;K2;75;7;17;10622;1;19;0;16;45
182;106;22;K2;75;7;17;10622;2;19;0;16;45
183;106;22;K2;75;7;17;10622;3;19;0;16;45
184;106;22;K2;75;7;17;10622;4;19;0;16;45
185;106;22;K2;75;7;17;10622;5;19;0;16;45
186;106;22;K2;75;7;17;10622;6;19;0;5;0
187;106;22;K2;75;7;17;10622;7;23;59;5;0
188;106;22;K3;75;10;47;10622;1;19;0;16;45
189;106;22;K3;75;10;47;10622;2;19;0;16;45
190;106;22;K3;75;10;47;10622;3;19;0;16;45
191;106;22;K3;75;10;47;10622;4;19;0;16;45
192;106;22;K3;75;10;47;10622;5;19;0;16;45
193;106;22;K3;75;10;47;10622;6;19;0;5;0
